Type of Infrastructure,Project Name,County/City,State,Form of Benefit,Year Built,"Developers, Owners, and/or Operators",Number of Turbines,Generating Capacity (Megawatts),Additional Form,Details,Sources,Created at,Updated at
Land-based wind energy project,Bruenning's Breeze,Willacy County,Texas,Donation/support to local cause,2017,RWE,76,228.0,,"- In 2018, at the wind project's grand opening, RWE donated $115,000 to the Willacy County Emergency Medical Services, which went toward the purchase of a new ambulance.",https://losfresnosnews.net/?p=8547,2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
Land-based wind energy project,Callahan Divide,Taylor County,Texas,Donation/support to local cause,2005,NextEra,76,123.0,,"- Since 2008, the Elm Creek Citizens Association fire department has received $60,000 in donations from NextEra to fund a new firetruck.",https://www.wind-watch.org/news/2011/10/05/fighting-fire-volunteer-crews-in-county-struggle-to-find-enough-funds/,2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
Land-based wind energy project,Camp Springs I & II,Scurry County,Texas,Donation/support to local cause,2007-2008,Invenergy,146,250.5,Non-financial,"- In 2022, Camp Springs donated to the Scurry County Jr. Livestock Association to support student exhibitors in the livestock show ring. The Camp Springs team has also helped set up the stock show ring prior to the start of the show to support the program for several years.

- In 2021, Camp Springs sponsored the annual Ranchin’ Around Days organized by the Scurry County Rodeo Association.","https://invenergy.com/news/power-lines/impact-recap---first-quarter-2022, https://assets.contentstack.io/v3/assets/blt73251bb1f13bbb9d/blt2a9b746f4f2c8dbc/63f39547af8f313d2898850e/Invenergy-Impact-Report-2021.pdf",2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
Land-based wind energy project,Canadian Breaks,"Oldham County, Deaf Springs County",Texas,Donation/support to local cause,2019,RWE,87,210.0,,"- As of 2022, Canadian Breaks had donated $150,000-200,000 to the Amarillo Area Foundation.",https://www.aafannualreports.org/donors-3/,2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
Land-based wind energy project,Cedro Hill,Webb County,Texas,Fund,2010,Edison Mission Group / Clearway Energy Group,100,150.0,,"- Through an agreement between the Laredo Area Community Foundation and Cedro Hill Wind, Cedro Hill funds a higher education scholarship fund called the Webb Consolidated Independent School District Higher Education Fund. Cedro Hill contributed $250,000 annually to this fund for a ten-year period from 2013-2022.","https://assets.comptroller.texas.gov/ch313/155/WebbCISDno155_CedroHill_School.pdf, https://laredofoundation.org/scholarships/, https://nawindpower.com/edison-mission-group-dedicates-cedro-hill-wind-project",2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
Land-based wind energy project,Cotton Plains,Floyd County,Texas,Donation/support to local cause,2017,Apex Clean Energy,21,50.0,,"- In 2016, Apex Clean Energy donated $4,500 to the Floyd County Sheriff’s Office, which allowed the department to purchase new bulletproof vests for deputies.",https://www.apexcleanenergy.com/insight/apex-donates-funding-equipment-floyd-county-sheriffs-office/,2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
Land-based wind energy project,Desert Sky,Pecos County,Texas,Donation/support to local cause,2001,Invenergy / AEP,107,170.0,,"- In April 2020, AEP donated $10,000 to McCamey Community Food Bank in McCamey, Texas.",https://www.aep.com/news/stories/read/5594/AEP-Renewables-Gives-Back-to-Communities-During-the-Pandemic,2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
Land-based wind energy project,El Campo,Knox County,Texas,Donation/support to local cause,2020,Longroad Energy,67,242.8,,"- El Campo Wind has made contributions to community organizations, including $3,000 to Knox County Jr. Livestock Show Association, $6,000 to Benjamin Volunteer Fire Department, $3,400 to North Texas Food Bank, and $2,000 to Seymour Chamber of Commerce.",Information came via email from developer,2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
Land-based wind energy project,El Sauz,Willacy County,Texas,Donation/support to local cause,2022,Apex Clean Energy / JERA,67,301.74,,"- In December 2022, Apex Clean Energy’s Conservation Grant Program awarded a $200,000 conservation grant on behalf of the El Sauz and Young wind projects. The grant went to Bat Conservation International, which will work with Texas Parks and Wildlife and the Texas Department of Criminal Justice to restore or relocate a colony of nearly one million Mexican free-tailed bats from a critical historic bat roost in an old cotton warehouse in Huntsville, Texas. Additionally, the grant will support bat education, outreach, and research at the site.  Through Apex Clean Energy’s Conservation Grant Program, each renewable energy project commercialized by Apex contributes a sum of money, proportional to the size of the project, to support local or regional wildlife conservation, reforestation and flora restoration, protection of sensitive habitats such as grassland or wetlands, and other environmental conservation initiatives in or near project communities.",https://cleanpower.org/blog/the-clean-energy-industrys-commitment-to-bat-conservation/,2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
Land-based wind energy project,Goldthwaite,Mills County,Texas,Donation/support to local cause,2013,Invenergy,83,148.6,Non-financial,"- In 2020, Goldthwaite Wind provided soap and sanitizing wipes to Goldthwaite Elementary School soap and sanitizing wipes, ensuring that nearly 300 students and staff could attend school safely.

- In 2019, Goldthwaite Wind donated $3,500 to help purchase equipment for the Goldthwaite Elementary School playground.

- In 2024, Goldthwaite Wind energy presented a $2,000 donation to local Little League teams near Goldthwaite. The donation from went toward new gear for the teams and field upgrades.","https://assets.contentstack.io/v3/assets/blt73251bb1f13bbb9d/blt3064c4374318ff9d/63f39597636425106de3ca5d/Invenergy-2020-Impact-Report_2022-06-07-164350_fwei.pdf, https://assets.contentstack.io/v3/assets/blt73251bb1f13bbb9d/blt493d33c24771dd16/63f395b9dad5213ba3483e3d/Invenergy_2019_Impact_Report.pdf, https://m.facebook.com/InvenergyLLC/photos/a.2139423566290040/2340986659467062/?type=3",2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
Land-based wind energy project,Grandview II (Colbeck's Corner),"Gray County, Carson County",Texas,Donation/support to local cause,2016,RWE,112,200.0,,"- When dedicating the project in 2016, RWE made donations to local groups in honor of an employee, Doug Colbeck, who passed away in 2013. Donations went to the White Deer Fire Department, the Panhandle Youth Baseball – High Plains Affiliate, the Groom Summer Program, and the Amarillo Children’s Home. ",https://greentechlead.com/wind/e-on-dedicates-colbecks-corner-wind-farm-in-memory-of-its-developer-31202,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Gulf Wind,Kenedy County,Texas,Donation/support to local cause,2009,Pattern Energy,118,271.0,,"- Gulf Wind has sponsored organizations, programs, and events, including Kingsville Independent School District, youth sports teams, Boys and Girls Club, and the Junior Livestock Show.",https://patternenergy.com/projects/gulf-wind/,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Gunsight Mountain,Howard County,Texas,Donation/support to local cause,2016,Invenergy,67,120.0,Non-financial,"- Gunsight Mountain Wind has supported community organizations and causes, including: 2022 donation to the Texas Veterans Administration Hospital to provide female veterans and their children with necessary supplies; 2021 donation of $2,000 worth of school supplies for students and teachers at Big Spring Elementary School, and participation in the Salvation Army Angel Tree Program.

- Gunsight Mountain donates annually to the Big Spring Fire Department and conducts regular drills with local fire departments and emergency responders to prepare emergencies at our project sites. In 2023, the donation was $1,500.","https://invenergyimpact2022.com/uploads/downloads/Invenergy-Impact-Report-2022.pdf, https://assets.contentstack.io/v3/assets/blt73251bb1f13bbb9d/blt2a9b746f4f2c8dbc/63f39547af8f313d2898850e/Invenergy-Impact-Report-2021.pdf, https://www.linkedin.com/posts/eric-thoms-1390008_invenergy-led-consortium-completes-purchase-activity-7097623580745596928-3IY9?trk=public_profile_share_view, https://invenergy.com/news/power-lines/invenergy-impact-recap-december-2021, https://kbst.com/2023/10/11/big-spring-city-council-meeting-highlights-10-10-23/",2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Helena Wind,Bee County,Texas,Donation/support to local cause,2022,Ørsted,66,268.0,,"- Ørsted donated $30,300 toward a county project to build a protective structure for students at a school bus stop; this is intended to help with extreme heat and other extreme weather conditions.",https://www.stexasnews.com/beeville_bee_picayune/newly-built-bus-stop-shelter-protects-local-students/article_8f03c4a6-1f57-11ee-aff2-ef016c7fbc46.html,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Hereford,Deaf Smith County,Texas,Donation/support to local cause,2014,Lincoln Renewable Energy / EDF Renewables,104,200.0,,"- At the project ribbon-cutting in 2015, as part of EDF Renewables' community engagement program, the company donated $2,500 to the Deaf Smith County Crisis Center.",https://www.edf-re.com/press-release/edf-renewable-energy-celebrates-hereford-wind-project-ribbon-cutting-ceremony/,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,High Lonesome / High Lonesome Expansion,"Crockett County, Upton County",Texas,Donation/support to local cause,"2019, 
2020",Enel Green Power / Swift Current Energy,142,500.0,,"- Representing the High Lonesome wind plus storage project and the nearby Roadrunner solar project, Enel Green Power has supported the McCamey Wellness Center and a future downtown farmers market in McCamey, Texas. The funds from Enel helped the wellness center to acquire equipment.

'- Enel also made a $175,000 donation for COVID-19 relief in West Texas, benefiting local school districts, community hospitals, and volunteer fire departments in Rankin, McCamey, Iraan, and Ozona.","https://www.enelgreenpower.com/our-projects/highlights/high-lonesome-wind-farm, https://energycentral.com/news/enel-completes-high-lonesome-expansion",2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Karankawa,"San Patricio County, Bee County",Texas,Donation/support to local cause,2019,Avangrid  ,124,307.0,,"- In 2022, Karankawa Wind donated $3,000 to the South Texas Botanical Gardens & Nature Center.",https://www.facebook.com/Avangrid/posts/this-weekend-our-karankawa-wind-farm-team-visited-the-south-texas-botanical-gard/3248267068824719/,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Keechi,Jack County,Texas,Donation/support to local cause,2015,Enbridge / RES,55,110.0,,"- In 2023, Keechi Wind donated to Jacksboro Community Food Pantry.

- Keechi Wind has donated to the Faith Community Health System Charitable Foundation.",https://www.facebook.com/JacksboroCommunityFoodPantry/posts/pfbid0h1DwWPK1FRYffATdprNNqJFoHHtRG559Ckh2CDi6fENmRjC85uU4fLRY7PGFKktal,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,La Chalupa,Cameron County,Texas,Fund,2021,Cielo Wind / ACCIONA Energy,62,198.3,,- Cielo Wind awards the Rio Grande Valley Earth Stewardship Scholarship to students from the La Chalupa area and other regions where Cielo has wind projects.,"https://www.cielowind.com/news/, https://www.cielowind.com/project/la-chalupa/",2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Langford,"Tom Green County, Schleicher County, Irion County",Texas,Donation/support to local cause,2009,Clearway Energy Group,100,159.9,Non-financial,"- Clearway Energy Group has raised $48,000 for food drives in the Langford wind project area.

- Langford Wind supported several community organizations and events in 2023, including donating $5,000 toward the construction of a new agricultural sciences barn for the local high school; laying sod for a new softball field; and providing lunch for teachers and students during a local elementary school's kickball day.

- In 2023, the Langford Wind team laid the sod for a new softball field, sparing the community this cost. 

- In 2023, Langford Wind provided lunch, snacks, and drinks for teachers and students at a local elementary school during the school's kickball day.","https://www.clearwayenergygroup.com/press-releases/clearway-completes-third-major-repowering-project-in-texas-at-langford-wind-farm/, https://www.clearwayenergygroup.com/wp-content/uploads/2024/03/Clearway-2023-ESG-Report-Final.pdf",2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Lockett,Wilbarger County,Texas,Donation/support to local cause,2019,Ørsted,75,183.75,,"- Lockett Wind Farm has supported community organizations and causes, including the Wilbarger County Gym System purchase, the Wilbarger County Junior Livestock Program, a child in the community with medical needs, and the Wilbarger Benevolence Fund.",Info via email from developer,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Logan's Gap,Comanche County,Texas,Fund,2015,Pattern Energy,87,200.0,,"- Pattern Energy created the Logan’s Gap Wind Community Benefits Program to support causes within the greater Comanche County community, including the Comanche County Agency on Aging, the Salvation Army Food Assistance Program, the Park Enhancement Group of Comanche, and the Comanche Youth Council. Over the first five years of the project, Logan’s Gap Wind contributed $100,000 to the Logan’s Gap Wind Community Benefits Program.",https://www.windpowerengineering.com/logans-gap-wind-facility-in-texas-is-now-fully-operational/,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Magic Valley,Willacy County,Texas,Fund,2012,RWE,112,203.0,,"- The Magic Valley Wind Farm provides scholarships to students from the Raymondville, Lyford, or San Perlita Independent School Districts in Willacy County. The Magic Valley scholarship fund is associated with the Coastal Bend Community Foundation.",https://www.cbcfoundation.org/scholarships/online/e-on-climate-renewables-north-america-llc-higher-education-fund-for-willacy-county-magic-valley/,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Maryneal,Nolan County,Texas,Donation/support to local cause,2021,Duke Energy Renewables,38,182.0,,"- Duke Energy Foundation and Duke Energy Renewables awarded the Maryneal Volunteer Fire Department a $20,000 grant to help maintain the critical safety services it provides to local businesses and residents of Maryneal, Texas, and its surrounding area. ","https://stlnewsusa.livejournal.com/3593655.html?, https://news.duke-energy.com/releases/duke-energy-donates-20000-to-maryneal-volunteer-fire-department-in-texas",2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Maverick Creek,Concho County,Texas,Donation/support to local cause,2020,RES / Algonquin Power,127,491.6,,"- RES employees engaged in various community support initiatives during the construction period, including donating to create handicapped accessible tables and playgrounds for children, raising money to provide over 140 gifts for children during the holiday season, and making several donations to support education initiatives.

- RES sponsored the new outdoor scoreboard at Eden High School in Texas and helped renovate the school’s football field, benefiting the community by enhancing school facilities and boosting school spirit.","https://www.res-group.com/us/resources/res-announces-commercial-operation-of-its-largest-windpower-project-492-mw-maverick-creek-in-texas/, https://www.linkedin.com/posts/res-group_powerforgood-givingback-activity-6806253808168132608-nXwa?trk=public_profile_like_view",2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,McAdoo,Dickens County,Texas,Non-financial,2008,Invenergy,100,154.0,,"- Every December, McAdoo Energy Center hosts a food drive to support the Dickens County Food Pantry. The McAdoo team collects and loads the donated food for community distribution.

- In 2023, McAdoo Energy Center provided funds to the Matador Relief Fund, initiated by the Community Foundation of West Texas, to assist communities affected by tornadoes near Invenergy’s McAdoo Wind Energy Center.",https://invenergyimpact2022.com/uploads/downloads/Invenergy-Impact-Report-2022.pdf,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Mesquite Sky,Callahan County,Texas,Donation/support to local cause,2020,Clearway Energy Group,69,340.0,,"- In 2022, Mesquite Sky Wind supported the Callahan County food bank, local COVID-19 relief efforts, and the Eastland County Volunteer Fire Department.","https://www.clearwayenergygroup.com/press-releases/clearway-celebrates-340-mw-mesquite-sky-wind-farm-completion-with-iconic-customers-in-west-texas/, https://investor.clearwayenergy.com/static-files/735f7b2c-ef35-49c6-b82c-ef76bba67051",2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Mesquite Star,Fisher County,Texas,Donation/support to local cause,2021,Clearway Energy Group,118,419.0,,"- In 2023, Mesquite Star Wind donated $2,500 to the Roby Consolidated Independent School District as part of Clearway Energy Group’s Adopt a School Program. ",https://www.fishercountychronicle.com/news/windfarm-donates-roby-cisd,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Miami,"Roberts County, Hemphill County",Texas,Donation/support to local cause,2014,Invenergy,156,288.6,,"- In 2017, Invenergy donated $5,000 to the Miami Volunteer Fire Department after wildfires fueled by dry winds burned through more than one million acres across four plains states.",https://assets.contentstack.io/v3/assets/blt73251bb1f13bbb9d/bltb9e40f929c460693/63f3960e48dd13348a298bff/InvenergyImpact2017SustainabilityReport.pdf,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Palmas Altas,Cameron County,Texas,Donation/support to local cause,2019,ACCIONA Energy,46,145.0,Payment to government outside of an agreement,"- In 2020, ACCIONA donated more than $40,000 to Los Fresnos Consolidated Independent School District to enhance science education at the district’s nine elementary schools. The donations were funded by the operations of the San Roman and Palmas Altas wind farms, which are located within the boundaries of the school district. Rio Hondo Independent School District has also received donations from ACCIONA. Rio Hondo Independent School District has also received donations from ACCIONA.",https://www.lfcisd.net/apps/news/article/1339571?fbclid=IwAR3TkkWHYRQBcEKYLkYJwyivVg_VC5wynhl_Yigkorv5hqP9fA6LfKJYEJc,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Panhandle,Carson County,Texas,Fund,2014,Pattern Energy,197,400.0,,"- The Panhandle Wind Community Benefits Program was created at the Amarillo Area Foundation (AAF) to support educational and civic initiatives in Carson County. AAF oversees an annual grant process for the Panhandle Wind Education Fund and Civic Fund, guided by an advisory committee of Carson County residents. Pattern Energy initially contributed $1,500,000 to establish the Panhandle Wind Education Fund Endowment and the Panhandle Wind Civic Fund Endowment. The facility will also provide an additional $150,000 annually for the first ten years of operation, ensuring a continuous funding source for valuable local causes both now and in the future.","https://amarilloareafoundation.org/pattern-panhandle-wind/, https://patternenergy.com/projects/panhandle-wind/",2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Penascal,Kenedy County,Texas,Non-financial,2009,Iberdrola / Avangrid,168,404.0,Donation/support to local cause,"- Iberdrola has partnered with Sarita Elementary School, including supporting the school's development of a science lab and providing miniature wind turbines for fifth-grade students to work on. Iberdrola also sponsored a similar wind turbine project for fathers and teens involved in the community organization FACE (Fathers Active in Communities & Education) in Alice, TX, which aims to expose participants to careers in green energy.
","https://www.avangrid.com/w/newest-texas-wind-farm-cause-for-community-celebration-brings-energy-industry-leaders-to-kenedy-county-on-the-gulf-coast, https://energy5.com/wind-turbines-and-sense-of-belonging-implications-for-social-capital",2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Peyton Creek,Matagorda County,Texas,Donation/support to local cause,2020,RWE,48,151.0,,"- In 2022, Peyton Creek Wind Farm hosted a back-to-school drive, providing backpacks filled with school supplies, serving pizza, and offering a bounce house for kids. A total of 70 backpacks were prepared for elementary and middle school students.",https://www.facebook.com/TheBayCitySentinel/posts/peyton-creek-wind-farm-with-rwe-renewables-is-hosting-its-first-of-many-back-to-/2283784468465070/,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Priddy,Mills County,Texas,Other,2022,ENGIE,63,300.0,,"- ENGIE has allocated $25,000 per year to support community needs for the lifetime of the project.",https://www.millscountytx.gov/upload/page/9267/TX-19_Priddy_County%20Meeting_202%200-10-29%2022.pdf,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Ranchland,Callahan County,Texas,Donation/support to local cause,2021,Enel Green Power,63,263.0,,"- As part of its $1.3 million commitment in response to the COVID-19 pandemic across the U.S. and Canada, Enel Green Power supported Eastland Memorial Hospital - Cisco, Eastland and Cross Plains schools, food pantries, and emergency responders in the area of the Ranchland wind project.

- Enel sponsors STEM programs at Baird Independent School District, including the KidWind curriculum. ",https://www.enelgreenpower.com/our-projects/operating/ranchland-wind-storage-farm,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Rio Bravo,Starr County,Texas,Donation/support to local cause,2019,Longroad Energy / Sammons Renewable Energy,66,237.6,,"- Longroad Energy has made a $3,600 donation to the Roma Volunteer Fire Department.",Information came via email from developer,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Route 66,"Armstrong County, Carson County",Texas,Donation/support to local cause,2015,First Wind / Onward Energy / Novatus Energy,75,150.0,,"- In 2019, Novatus Energy announced it was making $5,000 in scholarships available to the Panhandle High School's graduating class of 2020. ",https://files.gabbart.com/824/rt_66-novatus-panhandle-kirkland-letter.pdf,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Sage Draw,"Lynn County, Garza County",Texas,Donation/support to local cause,2020,Lincoln Clean Energy / Ørsted,120,338.4,,"- In 2020, Ørsted made a donation of $92,000 on behalf of the Sage Draw Wind Farm to support emergency relief during the COVID-19 pandemic. Ørsted initially donated $12,000 from project scrap metal sale proceeds and added $80,000 to support the South Plains Food Bank. The donation allowed the South Plains Food Bank to provide 276,000 meals for many families. 

- Ørsted has donated to C.A.S.A., a child advocacy group in Texas.",https://www.lubbockonline.com/story/news/coronavirus/2020/06/04/oslashrsted-announces-92k-donation-to-south-plains-food-bank/42431463/,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,San Roman,Cameron County,Texas,Fund,2016,ACCIONA Energy,31,93.0,Donation/support to local cause,"- In 2020, ACCIONA Energy donated more than $40,000 to Los Fresnos Consolidated Independent School District to enhance science education at the district’s nine elementary schools. The donations were funded by the operations of the San Roman and Palmas Altas wind farms, which are located within the boundaries of the school district. Rio Hondo Independent School District has also received donations from ACCIONA.

- When the project was built, ACCIONA established the San Roman Wind Farm Scholarship Fund to provide scholarships to students from the Port Isabel and Los Fresnos School districts throughout the life of the project.

- The San Roman wind farm sponsored the 2016 Cameron County Fair and Livestock Show.

- In 2016, the San Roman Wind Project donated 150 pairs of new safety glasses to the Cameron County Veteran Services Office in Brownsville.","https://mediacdn.acciona.com/media/1e1lp15b/san-roman-project-newsletter-june2016.pdf, https://www.lfcisd.net/apps/news/article/1339571?fbclid=IwAR3TkkWHYRQBcEKYLkYJwyivVg_VC5wynhl_Yigkorv5hqP9fA6LfKJYEJc, https://www.bloomberg.com/press-releases/2017-04-26/acciona-and-secretary-of-state-pablos-inaugurate-the-93-mw-san-roman-wind-farm-in-cameron-county, https://nawindpower.com/students-benefit-from-accionas-latest-u-s-wind-scholarships, https://www.acciona.com/projects/san-roman-wind-farm/?_adin=02021864894, https://www.sanromanwind.us/?_adin=02021864894, https://nawindpower.com/acciona-powers-up-san-roman-wind-farm-in-texas, https://mediacdn.acciona.com/media/0yqgautj/palmasaltasneighborintroletter_final.pdf, https://www.acciona.com/projects/scholarship-program/?_adin=02021864894, https://nawindpower.com/students-receive-accionas-latest-round-of-wind-scholarships",2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Sendero,"Jim Hogg County, Zapata County",Texas,Fund,2015,Constellation Energy,39,78.0,,"- The Brownsville Public Utilities Board awards $1,000 scholarships through its Project SHARE Scholarship program. The program is funded in part by Constellation Energy, the owner of the Sendero wind farm.","https://bpubscholarship.com/bpub-project-share-scholarship-applications-now-open/, https://www.brownsville-pub.com/bpub-awards-10-scholarships-to-local-graduating-seniors-2/",2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Spinning Spur I & II,Oldham County ,Texas,Donation/support to local cause,"2012, 2014",EDF Renewables,157,322.0,,"- During the Spinning Spur I ribbon-cutting and Spinning Spur II groundbreaking in 2013, EDF Renewables presented the Oldham County Chamber of Commerce and Agriculture with a $2500 donation. ",https://www.edf-re.com/press-release/edf-renewable-energy-dedicates-spinning-spur-wind-project-launches-spinning-spur-ii/,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Stanton,Martin County,Texas,Donation/support to local cause,2008,Invenergy,80,120.0,,"- Stanton Wind provides an annual donation to Martin County EMS to support local fire, medical, and emergency services. Stanton Wind also participates in annual ladder and up-tower rescue drills with local EMS professionals.

- In 2023, Stanton Wind sponsored a Veteran's Day lunch at the Martin County Senior Citizens Center.","https://invenergyimpact2022.com/uploads/downloads/Invenergy-Impact-Report-2022.pdf, https://www.facebook.com/permalink.php?story_fbid=pfbid0cQt5Abrd6PDyRCKHiV546Uyb8gerdmgtexbGobRBysm32jz8hNgwYPk2aoemL8V8l&id=100080024075188&locale=hr_HR",2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Stella,Kenedy County,Texas,Donation/support to local cause,2018,RWE,67,201.0,,"- During the Stella Wind grand opening in 2019, RWE contributed to a $66,000 donation to Kenedy County Fire and Emergency Services to help purchase new equipment; Nordex and IEA Infrastructure Construction, also involved in the Stella Wind project, joined RWE in making the donation. ",https://www.caller.com/story/news/local/2019/08/09/e-on-celebrates-new-wind-farm-kenedy-county/1955378001/,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Stephens Ranch I,"Borden County, Lynn County",Texas,Donation/support to local cause,2014,WindTex Energy / Starwood Energy Group,118,211.0,,"- In 2014, following the completion of Stephens Ranch I, WindTex Energy donated $5,000 to Borden County for a helipad lighting project. WindTex also donated $5,000 to Lynn County in 2014, which was to be used for improvements to the Veterans' War Memorial triangle near the county courthouse.","https://countyprogress.com/texas-news-reviews-july-2014/, https://issuu.com/lynncountynews/docs/lcn_issue__16",2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Stephens Ranch II,Lynn County,Texas,Donation/support to local cause,2015,WindTex Energy / Starwood Energy Group,92,165.0,,"- In 2019, Stephens Ranch II donated between $5,000-10,000 to the West Texas Food Bank.",https://www.wtxfoodbank.org/wp-content/uploads/2021/03/Corporate-Support-FY-2019.20-Final-Updated.pdf,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Sweetwater Wind 3,Nolan County,Texas,Donation/support to local cause,2005,Leeward Energy / Duke Energy,90,135.0,,"- In 2020, Sweetwater Wind 3 contributed $5,000 to the Sweetwater Goodfellow annual holiday toy drive.

- Leeward Energy has supported the Ridin for Cash Bull Bash event, which raises funds for visually impaired children in the community.","https://www.leewardenergy.com/community/##communities-15333, https://www.leewardenergy.com/community/",2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Tahoka,Lynn County,Texas,Donation/support to local cause,2018,Lincoln Clean Energy / Ørsted,120,300.0,,"- In 2018, Lincoln Clean Energy donated $30,000 from the Tahoka Wind project to the Lynn County Senior Citizens Pioneer Center, aiding them in their $110,000 renovation goal.

- Ørsted has supported community organizations and events, including the child advocacy group C.A.S.A., Tahoka Lil Dribblers, KidWind, and a backpack and school supplies giveaway at the Tahoka County Library.","https://us.orsted.com/our-impact/local-community-partnerships##wind-and-solar, https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&ved=2ahUKEwjxqKK0nfeDAxUenGoFHcwFC8kQFnoECBEQAQ&url=https%3A%2F%2Fcollections2.swco.ttu.edu%2Fbitstream%2Fhandle%2F20.500.12255%2F322515%2FLynn_County_News_2018_10_18.pdf%3Fsequence%3D1%26isAllowed%3Dy&usg=AOvVaw1kHXVmv4mn177ypnCQtE8n&opi=89978449",2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Torrecillas,"Webb County, Duval County",Texas,Fund,2018,NextEra Energy Resources,120,302.5,Non-financial,"- During the groundbreaking ceremony for the project in 2018, AT&T (the power purchaser for the energy generated by the project) announced a scholarship program for students pursuing careers as wind turbine technicians. AT&T made a $50,000 contribution to Texas State Technical College to establish the AT&T Wind Energy Scholarship fund. Scholarships are exclusively available to students earning a wind energy degree or certificate who are from counties with AT&T-backed wind farms, including Webb, Duval, Wilbarger, and Hardeman Counties. Additionally, the scholarship supports a new wind energy program at Webb County Consolidated Independent School District, one of the few high schools in the nation to host its own wind technician program. 

- NextEra Energy Resources contributed a wind turbine gearbox to the Webb County Consolidated Independent School District for hands-on training.",https://about.att.com/story/att_expands_renewable_energy_program_with_nextera_energy_resources.html,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
